,Wikipedia movie ID,Freebase movie ID,Movie release date,Character name,Actor date of birth,Actor gender,Actor height (in meters),Actor ethnicity (Freebase ID),Actor name,Actor age at movie release,Freebase character/actor map ID,Freebase character ID,Freebase actor ID,e.id,Wikipedia Movie id,Movie name,charName,fullName,occurences,max,Persona
0,975900,/m/03vyhn,2001-08-24,Lieutenant Melanie Ballard,1974-08-15,F,1.78,/m/044038p,Natasha Henstridge,27.0,/m/0jys3m,/m/0bgchn4,/m/0346l4,/m/0jys3m,975900,Ghosts of Mars,Lieutenant Melanie Ballard,Ballard,10,35,36
1,156558,/m/014k4y,2001-06-27,Yvette,1970-09-11,F,1.65,/m/0x67,Taraji P. Henson,30.0,/m/0jtx5t,/m/03jnxj_,/m/0blbxk,/m/0jtx5t,156558,Baby Boy,Yvette,her,23,46,47
2,156558,/m/014k4y,2001-06-27,Jody,1978-12-30,M,1.797,/m/0x67,Tyrese Gibson,22.0,/m/0jtx5h,/m/03jnxf4,/m/01l1b90,/m/0jtx5h,156558,Baby Boy,Jody,Jody and Yvette,31,4,5
3,156558,/m/014k4y,2001-06-27,Rodney,1971-10-20,M,1.918,/m/0x67,Snoop Dogg,29.0,/m/0jtx5n,/m/03jnx_2,/m/01vw8mh,/m/0jtx5n,156558,Baby Boy,Rodney,Rodney,18,41,42
4,156558,/m/014k4y,2001-06-27,Melvin,1959-05-12,M,1.83,/m/0x67,Ving Rhames,42.0,/m/03jnxct,/m/03jnxcx,/m/032zg9,/m/03jnxct,156558,Baby Boy,Melvin,Melvin,3,35,36
5,156558,/m/014k4y,2001-06-27,Sweetpea,1976-10-19,M,1.829,/m/0x67,Omar Gooding,24.0,/m/03jnxn4,/m/03jnxn7,/m/05cgxx,/m/03jnxn4,156558,Baby Boy,Sweetpea,Sweetpea,7,40,41
6,9633533,/m/02pml15,1989,Unnikrishnan,1960-05-21,M,1.72,/m/0dryh9k,Mohanlal,28.0,/m/03lzkb6,/m/0h8gsxq,/m/02fbpz,/m/03lzkb6,9633533,Vandanam,Unnikrishnan,Unnikrishnan and Peter,11,36,37
7,24029843,/m/02rgj5h,2009,Joanna,1981-09-16,F,1.68,/m/02p1pl6,Fan Bing-Bing,27.0,/m/0cs6q86,/m/0h2x3k1,/m/09wn3y,/m/0cs6q86,24029843,Sophie's Revenge,Joanna,Joanna,9,13,14
8,29528534,/m/04j0lfk,1986,Robert Bob,1942-12-29,M,1.75,/m/0dryh9k,Rajesh Khanna,43.0,/m/04j0lfs,/m/0h2w_2n,/m/061zc_,/m/04j0lfs,29528534,Anokha Rishta,Robert Bob,him,10,3,4
9,4951456,/m/0cws46,1989,Kathleen Crowe,1946-08-30,F,1.72,/m/033tf_,Peggy Lipton,42.0,/m/040s84p,/m/0h2stn2,/m/06xz0d,/m/040s84p,4951456,Kinjite: Forbidden Subjects,Kathleen Crowe,Lt. Crowe and his partner,8,41,42
10,12053509,/m/02vn81r,1989-04-28,Randy Bodek,1966-01-13,M,1.79,/m/033tf_,Patrick Dempsey,23.0,/m/03jrkh2,/m/04fywxp,/m/034x61,/m/03jrkh2,12053509,Loverboy,Randy Bodek,Randy,29,2,3
11,4926447,/m/0cvh_c,1952,Jim Fallon,1916-12-09,M,1.75,/m/09kr66,Kirk Douglas,35.0,/m/0k4h08,/m/0h135g0,/m/0j582,/m/0k4h08,4926447,The Big Trees,Jim Fallon,Jim,8,36,37
12,5894429,/m/0fc8w8,2007-09-14,Young Ethel Ann,1986-01-24,F,1.75,/m/09vc4s,Mischa Barton,21.0,/m/0jwjkg,/m/0gy6lpz,/m/01qn8k,/m/0jwjkg,5894429,Closing the Ring,Young Ethel Ann,Ethel in Belfast,11,14,15
13,5894429,/m/0fc8w8,2007-09-14,Young Jack,1983-07-06,M,1.79,/m/0g8_vp,Gregory Smith,24.0,/m/03jq87t,/m/0h58k54,/m/03_nv3,/m/03jq87t,5894429,Closing the Ring,Young Jack,Jack,5,49,50
14,5894429,/m/0fc8w8,2007-09-14,Marie,1973-10-03,F,1.7,/m/092h2qt,Neve Campbell,33.0,/m/040stsr,/m/0h0y3gw,/m/0l8v5,/m/040stsr,5894429,Closing the Ring,Marie,Marie,4,2,3
15,27556929,/m/04j0jtp,1996,Vlachos,1946-05-02,M,1.7,/m/02w7gg,David Suchet,49.0,/m/0cg0qq4,/m/0h2t3nh,/m/013bd1,/m/0cg0qq4,27556929,Deadly Voyage,Vlachos,Vlachos,5,35,36
16,164387,/m/015wmg,1979-06-29,Arthur Kirkland,1940-04-25,M,1.7,/m/0xnvg,Al Pacino,39.0,/m/0jshhb,/m/02nw965,/m/0bj9k,/m/0jshhb,164387,...And Justice for All,Arthur Kirkland,Arthur,36,40,41
17,1072373,/m/043j2x,1997-01-14,Priya,1974-08-05,F,1.57,/m/0bpjh3,Kajol,22.0,/m/0k0plr,/m/0gy8qw_,/m/0241wg,/m/0k0plr,1072373,Minsaara Kanavu,Priya,Priya,10,3,4
18,21878654,/m/05p0zkv,2009,Jack Kahuna Laguna,1963-06-09,M,1.78,/m/01qhm_,Johnny Depp,45.0,/m/05tbnxk,/m/09p4fb9,/m/0jfx1,/m/05tbnxk,21878654,SpongeBob vs. The Big One,Jack Kahuna Laguna,JKL,8,46,47
19,196176,/m/01bwgr,1971-11-03,Henry Niles,1941-07-29,M,1.87,/m/041rx,David Warner,30.0,/m/0glyrl_,/m/0hcfwhd,/m/017khj,/m/0glyrl_,196176,Straw Dogs,Henry Niles,Niles,4,41,42
20,196176,/m/01bwgr,1971-11-03,David Sumner,1937-08-08,M,1.66,/m/041rx,Dustin Hoffman,34.0,/m/0k3v65,/m/0ch916z,/m/0bl2g,/m/0k3v65,196176,Straw Dogs,David Sumner,David for his intellectual pursuits,37,41,42
21,196176,/m/01bwgr,1971-11-03,Tom Hedden,1923-04-04,M,1.829,/m/02w7gg,Peter Vaughan,48.0,/m/03jqlsn,/m/0ch92b5,/m/070mz9,/m/03jqlsn,196176,Straw Dogs,Tom Hedden,Tom,12,41,42
22,336846,/m/01xlqd,1978-06-16,Sandy Olsson,1948-09-26,F,1.68,/m/06gbnc,Olivia Newton-John,29.0,/m/0jy_bg,/m/0fq97v,/m/0dzlk,/m/0jy_bg,336846,Grease,Sandy Olsson,Sandy,12,49,50
